"Time","Source","SourcePort","Destination","DestinationPort","Client","Session","Type","ReturnCode","Seq","PayloadHex","Service","Method","SdEntries","SdEndpoints"
"1788945802.880523","192.168.31.85","59933","192.168.31.248","30509","5566","0001","00","00","16909060","01010203040102030405060708640300","1111","1001","",""
"1788945802.880747","192.168.31.85","59933","192.168.31.248","30509","5566","0001","00","00","16909060","01010203040102030405060708640300","1111","1001","",""
"1788945802.887195","192.168.31.248","30509","192.168.31.85","59933","5566","0001","80","00","","","1111","1001","",""
"1788945802.887597","192.168.31.248","30509","192.168.31.85","59933","5566","0001","80","00","","","1111","1001","",""
"1788945802.909416","192.168.31.85","59933","192.168.31.248","30509","5566","0002","00","00","16909061","01010203050000000000000001ff0300","1111","1001","",""
"1788945802.909459","192.168.31.85","59933","192.168.31.248","30509","5566","0002","00","00","16909061","01010203050000000000000001ff0300","1111","1001","",""
"1788945802.915084","192.168.31.248","30509","192.168.31.85","59933","5566","0002","80","01","","","1111","1001","",""
"1788945802.915431","192.168.31.248","30509","192.168.31.85","59933","5566","0002","80","01","","","1111","1001","",""
"1788945802.927367","192.168.31.85","59933","192.168.31.248","30509","5566","0003","00","00","16909062","02010203060000000000000001000000","1111","1001","",""
"1788945802.927409","192.168.31.85","59933","192.168.31.248","30509","5566","0003","00","00","16909062","02010203060000000000000001000000","1111","1001","",""
"1788945802.932997","192.168.31.248","30509","192.168.31.85","59933","5566","0003","80","01","","","1111","1001","",""
"1788945802.933448","192.168.31.248","30509","192.168.31.85","59933","5566","0003","80","01","","","1111","1001","",""
"1788945802.946071","192.168.31.85","59933","192.168.31.248","30509","5566","0004","00","00","16909063","01010203070000000000000001000000","1111","1001","",""
"1788945802.946119","192.168.31.85","59933","192.168.31.248","30509","5566","0004","00","00","16909063","01010203070000000000000001000000","1111","1001","",""
"1788945802.951684","192.168.31.248","30509","192.168.31.85","59933","5566","0004","80","00","","","1111","1001","",""
"1788945802.952011","192.168.31.248","30509","192.168.31.85","59933","5566","0004","80","00","","","1111","1001","",""
"1788945803.042943","192.168.31.85","59934","192.168.31.248","30509","5566","0001","00","00","16909070","010102030e0102030405060708640300","1111","1001","",""
"1788945803.042988","192.168.31.85","59934","192.168.31.248","30509","5566","0001","00","00","16909070","010102030e0102030405060708640300","1111","1001","",""
"1788945803.048664","192.168.31.248","30509","192.168.31.85","59934","5566","0001","80","00","","","1111","1001","",""
"1788945803.048950","192.168.31.248","30509","192.168.31.85","59934","5566","0001","80","00","","","1111","1001","",""
"1788945803.480585","192.168.31.85","59934","192.168.31.248","30509","5566","0002","00","00","16909071","010102030f0000000000000001ff0300","1111","1001","",""
"1788945803.480609","192.168.31.85","59934","192.168.31.248","30509","5566","0002","00","00","16909071","010102030f0000000000000001ff0300","1111","1001","",""
"1788945803.486367","192.168.31.248","30509","192.168.31.85","59934","5566","0002","80","01","","","1111","1001","",""
"1788945803.487251","192.168.31.248","30509","192.168.31.85","59934","5566","0002","80","01","","","1111","1001","",""
"1788945803.495527","192.168.31.85","59934","192.168.31.248","30509","5566","0003","00","00","16909072","02010203100000000000000001000000","1111","1001","",""
"1788945803.495571","192.168.31.85","59934","192.168.31.248","30509","5566","0003","00","00","16909072","02010203100000000000000001000000","1111","1001","",""
"1788945803.501382","192.168.31.248","30509","192.168.31.85","59934","5566","0003","80","01","","","1111","1001","",""
"1788945803.501759","192.168.31.248","30509","192.168.31.85","59934","5566","0003","80","01","","","1111","1001","",""
"1788945803.511947","192.168.31.85","59934","192.168.31.248","30509","5566","0004","00","00","16909073","01010203110000000000000001000000","1111","1001","",""
"1788945803.511991","192.168.31.85","59934","192.168.31.248","30509","5566","0004","00","00","16909073","01010203110000000000000001000000","1111","1001","",""
"1788945803.517507","192.168.31.248","30509","192.168.31.85","59934","5566","0004","80","00","","","1111","1001","",""
"1788945803.517844","192.168.31.248","30509","192.168.31.85","59934","5566","0004","80","00","","","1111","1001","",""
