"Time","Source","SourcePort","Destination","DestinationPort","Client","Session","Type","ReturnCode","Seq","PayloadHex","Service","Method","SdEntries","SdEndpoints"
"1788938676.400796","192.168.31.85","60192","192.168.31.248","30509","5566","0001","00","00","16909060","01010203040102030405060708640300","1111","1001","",""
"1788938676.400824","192.168.31.85","60192","192.168.31.248","30509","5566","0001","00","00","16909060","01010203040102030405060708640300","1111","1001","",""
"1788938676.406348","192.168.31.248","30509","192.168.31.85","60192","5566","0001","80","00","","","1111","1001","",""
"1788938676.406763","192.168.31.248","30509","192.168.31.85","60192","5566","0001","80","00","","","1111","1001","",""
"1788938676.458575","192.168.31.85","60192","192.168.31.248","30509","5566","0002","00","00","16909061","01010203050000000000000001ff0300","1111","1001","",""
"1788938676.458596","192.168.31.85","60192","192.168.31.248","30509","5566","0002","00","00","16909061","01010203050000000000000001ff0300","1111","1001","",""
"1788938676.464009","192.168.31.248","30509","192.168.31.85","60192","5566","0002","80","01","","","1111","1001","",""
"1788938676.464455","192.168.31.248","30509","192.168.31.85","60192","5566","0002","80","01","","","1111","1001","",""
"1788938676.477111","192.168.31.85","60192","192.168.31.248","30509","5566","0003","00","00","16909062","02010203060000000000000001000000","1111","1001","",""
"1788938676.477131","192.168.31.85","60192","192.168.31.248","30509","5566","0003","00","00","16909062","02010203060000000000000001000000","1111","1001","",""
"1788938676.482467","192.168.31.248","30509","192.168.31.85","60192","5566","0003","80","01","","","1111","1001","",""
"1788938676.482889","192.168.31.248","30509","192.168.31.85","60192","5566","0003","80","01","","","1111","1001","",""
"1788938676.494420","192.168.31.85","60192","192.168.31.248","30509","5566","0004","00","00","16909063","01010203070000000000000001000000","1111","1001","",""
"1788938676.494441","192.168.31.85","60192","192.168.31.248","30509","5566","0004","00","00","16909063","01010203070000000000000001000000","1111","1001","",""
"1788938676.499806","192.168.31.248","30509","192.168.31.85","60192","5566","0004","80","00","","","1111","1001","",""
"1788938676.500177","192.168.31.248","30509","192.168.31.85","60192","5566","0004","80","00","","","1111","1001","",""
"1788938676.549919","192.168.31.85","60197","192.168.31.248","30509","5566","0001","00","00","16909070","010102030e0102030405060708640300","1111","1001","",""
"1788938676.549943","192.168.31.85","60197","192.168.31.248","30509","5566","0001","00","00","16909070","010102030e0102030405060708640300","1111","1001","",""
"1788938676.555546","192.168.31.248","30509","192.168.31.85","60197","5566","0001","80","00","","","1111","1001","",""
"1788938676.556002","192.168.31.248","30509","192.168.31.85","60197","5566","0001","80","00","","","1111","1001","",""
"1788938677.012685","192.168.31.85","60197","192.168.31.248","30509","5566","0002","00","00","16909071","010102030f0000000000000001ff0300","1111","1001","",""
"1788938677.012706","192.168.31.85","60197","192.168.31.248","30509","5566","0002","00","00","16909071","010102030f0000000000000001ff0300","1111","1001","",""
"1788938677.020962","192.168.31.248","30509","192.168.31.85","60197","5566","0002","80","01","","","1111","1001","",""
"1788938677.022868","192.168.31.248","30509","192.168.31.85","60197","5566","0002","80","01","","","1111","1001","",""
"1788938677.032167","192.168.31.85","60197","192.168.31.248","30509","5566","0003","00","00","16909072","02010203100000000000000001000000","1111","1001","",""
"1788938677.032188","192.168.31.85","60197","192.168.31.248","30509","5566","0003","00","00","16909072","02010203100000000000000001000000","1111","1001","",""
"1788938677.037952","192.168.31.248","30509","192.168.31.85","60197","5566","0003","80","01","","","1111","1001","",""
"1788938677.038476","192.168.31.248","30509","192.168.31.85","60197","5566","0003","80","01","","","1111","1001","",""
"1788938677.046335","192.168.31.85","60197","192.168.31.248","30509","5566","0004","00","00","16909073","01010203110000000000000001000000","1111","1001","",""
"1788938677.046357","192.168.31.85","60197","192.168.31.248","30509","5566","0004","00","00","16909073","01010203110000000000000001000000","1111","1001","",""
"1788938677.051775","192.168.31.248","30509","192.168.31.85","60197","5566","0004","80","00","","","1111","1001","",""
"1788938677.052157","192.168.31.248","30509","192.168.31.85","60197","5566","0004","80","00","","","1111","1001","",""
