"Time","Source","SourcePort","Destination","DestinationPort","Client","Session","Type","ReturnCode","Seq","PayloadHex","Service","Method","SdEntries","SdEndpoints"
"1789021133.854232","192.168.31.85","54743","192.168.31.248","30509","5566","0001","00","00","2","0100000002000001a089f8202f040300","1111","1001","",""
"1789021133.854244","192.168.31.85","54743","192.168.31.248","30509","5566","0001","00","00","2","0100000002000001a089f8202f040300","1111","1001","",""
"1789021133.860787","192.168.31.248","30509","192.168.31.85","54743","5566","0001","80","00","","","1111","1001","",""
"1789021133.861337","192.168.31.248","30509","192.168.31.85","54743","5566","0001","80","00","","","1111","1001","",""
"1789021133.960855","192.168.31.85","54743","192.168.31.248","30509","5566","0002","00","00","3","0100000003000001a089f82094060300","1111","1001","",""
"1789021133.960866","192.168.31.85","54743","192.168.31.248","30509","5566","0002","00","00","3","0100000003000001a089f82094060300","1111","1001","",""
"1789021133.967357","192.168.31.248","30509","192.168.31.85","54743","5566","0002","80","00","","","1111","1001","",""
"1789021133.968111","192.168.31.248","30509","192.168.31.85","54743","5566","0002","80","00","","","1111","1001","",""
"1789021134.060457","192.168.31.85","54743","192.168.31.248","30509","5566","0003","00","00","4","0100000004000001a089f820fa080300","1111","1001","",""
"1789021134.060469","192.168.31.85","54743","192.168.31.248","30509","5566","0003","00","00","4","0100000004000001a089f820fa080300","1111","1001","",""
"1789021134.066772","192.168.31.248","30509","192.168.31.85","54743","5566","0003","80","00","","","1111","1001","",""
"1789021134.067377","192.168.31.248","30509","192.168.31.85","54743","5566","0003","80","00","","","1111","1001","",""
"1789021134.160695","192.168.31.85","54743","192.168.31.248","30509","5566","0004","00","00","5","0100000005000001a089f821610a0300","1111","1001","",""
"1789021134.160707","192.168.31.85","54743","192.168.31.248","30509","5566","0004","00","00","5","0100000005000001a089f821610a0300","1111","1001","",""
"1789021134.167450","192.168.31.248","30509","192.168.31.85","54743","5566","0004","80","00","","","1111","1001","",""
"1789021134.168151","192.168.31.248","30509","192.168.31.85","54743","5566","0004","80","00","","","1111","1001","",""
"1789021134.260797","192.168.31.85","54743","192.168.31.248","30509","5566","0005","00","00","6","0100000006000001a089f821c70c0300","1111","1001","",""
"1789021134.260810","192.168.31.85","54743","192.168.31.248","30509","5566","0005","00","00","6","0100000006000001a089f821c70c0300","1111","1001","",""
"1789021134.267211","192.168.31.248","30509","192.168.31.85","54743","5566","0005","80","00","","","1111","1001","",""
"1789021134.267870","192.168.31.248","30509","192.168.31.85","54743","5566","0005","80","00","","","1111","1001","",""
"1789021134.365243","192.168.31.85","54743","192.168.31.248","30509","5566","0006","00","00","7","0100000007000001a089f8222e0e0300","1111","1001","",""
"1789021134.365255","192.168.31.85","54743","192.168.31.248","30509","5566","0006","00","00","7","0100000007000001a089f8222e0e0300","1111","1001","",""
