09-14 07:53:05.056  3580  3602 I TestRunner: started: saveAndApply_withInvalidTheme_persistsSystemFallback(com.example.carlauncher.ThemePreferencesContextTest)
09-14 07:53:05.060  1744  1744 D FocusParkingView: The window of Activity [null] lost focus
09-14 07:53:05.060  1744  1744 D FocusParkingView: The window of Activity [com.android.car.carlauncher.CarLauncher@67a796c] lost focus
09-14 07:53:05.060  1744  1744 D FocusAreaHelper: The window of Activity [com.android.car.carlauncher.CarLauncher@67a796c] lost focus
09-14 07:53:05.061  1744  1744 D FocusAreaHelper: The window of Activity [com.android.car.carlauncher.CarLauncher@67a796c] lost focus
09-14 07:53:05.061  1466  1466 V RotaryController: event window ID: b
09-14 07:53:05.063  1466  1466 V RotaryController: onAccessibilityEvent: EventType: TYPE_WINDOWS_CHANGED; EventTime: 134037; PackageName: null; MovementGranularity: 0; Action: 0; ContentChangeTypes: []; WindowChangeTypes: [WINDOWS_CHANGE_LAYER] [ ClassName: null; Text: []; ContentDescription: null; ItemCount: -1; CurrentItemIndex: -1; Enabled: false; Password: false; Checked: false; FullScreen: false; Scrollable: false; ImportantForAccessibility: true; AccessibilityDataSensitive: false; BeforeText: null; FromIndex: -1; ToIndex: -1; ScrollX: 0; ScrollY: 0; MaxScrollX: 0; MaxScrollY: 0; ScrollDeltaX: -1; ScrollDeltaY: -1; AddedCount: -1; RemovedCount: -1; ParcelableData: null; DisplayId: 0 ]; recordCount: 0
09-14 07:53:05.063  1466  1466 V RotaryController: event window ID: 7
09-14 07:53:05.063  1466  1466 V RotaryController: onAccessibilityEvent: EventType: TYPE_WINDOWS_CHANGED; EventTime: 134037; PackageName: null; MovementGranularity: 0; Action: 0; ContentChangeTypes: []; WindowChangeTypes: [WINDOWS_CHANGE_LAYER] [ ClassName: null; Text: []; ContentDescription: null; ItemCount: -1; CurrentItemIndex: -1; Enabled: false; Password: false; Checked: false; FullScreen: false; Scrollable: false; ImportantForAccessibility: true; AccessibilityDataSensitive: false; BeforeText: null; FromIndex: -1; ToIndex: -1; ScrollX: 0; ScrollY: 0; MaxScrollX: 0; MaxScrollY: 0; ScrollDeltaX: -1; ScrollDeltaY: -1; AddedCount: -1; RemovedCount: -1; ParcelableData: null; DisplayId: 0 ]; recordCount: 0
09-14 07:53:05.063  1466  1466 V RotaryController: event window ID: 6
09-14 07:53:05.064  1466  1466 V RotaryController: onAccessibilityEvent: EventType: TYPE_WINDOW_STATE_CHANGED; EventTime: 134032; PackageName: com.android.car.carlauncher; MovementGranularity: 0; Action: 0; ContentChangeTypes: []; WindowChangeTypes: [] [ ClassName: com.android.car.carlauncher.CarLauncher; Text: [Car Launcher]; ContentDescription: null; ItemCount: -1; CurrentItemIndex: -1; Enabled: true; Password: false; Checked: false; FullScreen: true; Scrollable: false; ImportantForAccessibility: true; AccessibilityDataSensitive: false; BeforeText: null; FromIndex: -1; ToIndex: -1; ScrollX: 0; ScrollY: 0; MaxScrollX: 0; MaxScrollY: 0; ScrollDeltaX: -1; ScrollDeltaY: -1; AddedCount: -1; RemovedCount: -1; ParcelableData: null; DisplayId: 0 ]; recordCount: 0
09-14 07:53:05.065  3580  3602 I THEME_PREFERENCES: Settings reset: colorTheme=system, welcomeEnabled=true
09-14 07:53:05.065  3580  3602 I THEME_PREFERENCES: Saved theme=system
09-14 07:53:05.065  3580  3602 I THEME_PREFERENCES: Apply theme=system, nightMode=-1
09-14 07:53:05.066  3580  3602 I THEME_PREFERENCES: Loaded theme=system
09-14 07:53:05.066  3580  3602 I TestRunner: finished: saveAndApply_withInvalidTheme_persistsSystemFallback(com.example.carlauncher.ThemePreferencesContextTest)
